latin_5_25,NoWL,boscia,1,User defined stop,8.224,0,25,true,false,
latin_5_25,1WL,boscia_wl,1,User defined stop,4.7916385,0,25,true,false,
latin_5_25,2WL,boscia_wl2,1,User defined stop,4.6088852000000005,0,25,true,false,
latin_5_25,1WL_noniso,boscia_wl,1,Error,NaN,NaN,0,false,false,
latin_5_25,2WL_noniso,boscia_wl2,1,Error,NaN,NaN,0,false,false,
latin_5_25,NoWL,boscia,1,User defined stop,9.437,0,25,true,false,
latin_5_25,1WL,boscia_wl,1,User defined stop,5.1246148,0,25,true,false,
latin_5_25,2WL,boscia_wl2,1,User defined stop,4.8754865999999994,0,25,true,false,
latin_5_25,1WL_noniso,boscia_wl,1,Unknown,0.0286409,575,0,false,true,wl
latin_5_25,2WL_noniso,boscia_wl2,1,Unknown,0.0181647,625,0,false,true,wl
latin_10_100,NoWL,boscia,1,Time limit reached,300.409,0,100,true,false,
latin_10_100,1WL,boscia_wl,1,Time limit reached,300.3248623,0,100,true,false,
latin_10_100,2WL,boscia_wl2,1,Time limit reached,300.1652454,0,100,true,false,
latin_16_256,NoWL,boscia,1,Time limit reached,307.555,0,256,true,false,
latin_16_256,1WL,boscia_wl,1,Time limit reached,308.7484569,0,256,true,false,
latin_16_256,2WL,boscia_wl2,1,Time limit reached,308.1924694,0,256,true,false,
Lattice_4_16,NoWL,boscia,1,User defined stop,1.934,0,16,true,false,
Lattice_4_16,1WL,boscia_wl,1,User defined stop,1.9818603,0,16,true,false,
Lattice_4_16,2WL,boscia_wl2,1,User defined stop,1.7640404,0,16,true,false,
Lattice_9_81,NoWL,boscia,1,Time limit reached,300.155,0,81,true,false,
Lattice_9_81,1WL,boscia_wl,1,Time limit reached,300.1808927,0,81,true,false,
Lattice_9_81,2WL,boscia_wl2,1,Time limit reached,300.4712134,0,81,true,false,
Lattice_15_225,NoWL,boscia,1,Time limit reached,306.057,0,225,true,false,
Lattice_15_225,1WL,boscia_wl,1,Time limit reached,305.95041640000005,0,225,true,false,
Lattice_15_225,2WL,boscia_wl2,1,Time limit reached,307.487953,0,225,true,false,
paley_power_9,NoWL,boscia,1,User defined stop,0.105,0,9,true,false,
paley_power_9,1WL,boscia_wl,1,User defined stop,0.1099135,0,9,true,false,
paley_power_9,2WL,boscia_wl2,1,User defined stop,0.0836113,0,9,true,false,
paley_power_49,NoWL,boscia,1,User defined stop,80.128,0,49,true,false,
paley_power_49,1WL,boscia_wl,1,User defined stop,78.28547560000001,0,49,true,false,
paley_power_49,2WL,boscia_wl2,1,User defined stop,78.7168505,0,49,true,false,
paley_prime_13,NoWL,boscia,1,User defined stop,0.3,0,13,true,false,
paley_prime_13,1WL,boscia_wl,1,User defined stop,0.3371195,0,13,true,false,
paley_prime_13,2WL,boscia_wl2,1,User defined stop,0.3089902,0,13,true,false,
Triangular_10_45,NoWL,boscia,1,Time limit reached,300.031,0,45,true,false,
Triangular_10_45,1WL,boscia_wl,1,Time limit reached,300.0385786,0,45,true,false,
Triangular_10_45,2WL,boscia_wl2,1,Time limit reached,300.0948578,0,45,true,false,
