instance,n,pct_fixed_1wl,time_no_wl,time_1wl,time_2wl,speedup_1wl,speedup_2wl
iso_r01N_s100,100,99.0,104.012,0.2663176,10.1118679,390.5562381156935,10.286131210238615
iso_r01N_s80,80,98.75,56.436,0.1503474,0.9477212,375.37064159406816,59.549158550003945
iso_r01N_s60,60,98.33333333333333,23.756,0.0676428,0.6443546,351.197762363474,36.867898514265285
iso_r01N_s40,40,97.5,6.232,0.027761499999999998,0.17307419999999998,224.48354735875225,36.00767763190586
exact_051,62,96.87825182101977,15.522,0.0573079,0.4405446,270.85270966132066,35.23366306158332
exact_024,40,96.875,3.636,0.0162721,0.1044216,223.44995421611225,34.82038198993312
iso_r01N_s20,20,95.0,0.593,0.0121741,0.025701500000000002,48.709966239804174,23.072583312258036
exact_001,19,89.75069252077563,1.377,0.0332254,0.062370300000000004,41.44419630764415,22.07781588352148
latin_5_25,25,0.0,8.224,4.7916385,4.6088852000000005,1.7163231324733699,1.7843794416923207
latin_5_25,25,0.0,8.224,4.7916385,4.8754865999999994,1.7163231324733699,1.6868059897857173
latin_5_25,25,0.0,9.437,4.7916385,4.6088852000000005,1.9694724466380338,2.0475667304536027
latin_5_25,25,0.0,9.437,4.7916385,4.8754865999999994,1.9694724466380338,1.9356016689698214
latin_5_25,25,0.0,8.224,5.1246148,4.6088852000000005,1.604803545429405,1.7843794416923207
latin_5_25,25,0.0,8.224,5.1246148,4.8754865999999994,1.604803545429405,1.6868059897857173
latin_5_25,25,0.0,9.437,5.1246148,4.6088852000000005,1.8415042629155267,2.0475667304536027
latin_5_25,25,0.0,9.437,5.1246148,4.8754865999999994,1.8415042629155267,1.9356016689698214
latin_10_100,100,0.0,300.409,300.3248623,300.1652454,1.0002801556266625,1.0008120680316441
latin_16_256,256,0.0,307.555,308.7484569,308.1924694,0.9961345332314112,0.9979315867086531
Lattice_4_16,16,0.0,1.934,1.9818603,1.7640404,0.9758508205649006,1.096346773010414
Lattice_9_81,81,0.0,300.155,300.1808927,300.4712134,0.9999137430108654,0.9989476083368456
Lattice_15_225,225,0.0,306.057,305.95041640000005,307.487953,1.0003483688672632,0.9953463119903108
paley_power_9,9,0.0,0.105,0.1099135,0.0836113,0.9552966651048325,1.2558111164400028
paley_power_49,49,0.0,80.128,78.28547560000001,78.7168505,1.023535967379369,1.0179269049896755
paley_prime_13,13,0.0,0.3,0.3371195,0.3089902,0.8898921599017559,0.9709045788507208
Triangular_10_45,45,0.0,300.031,300.0385786,300.0948578,0.9999747412481577,0.9997872079499525
Triangular_16_120,120,0.0,300.8,300.6171115,300.5086693,1.0006083768787726,1.0009694585539866
cfi-20,200,0.0,300.555,300.7056839,300.2486594,0.9994988990628787,1.0010202896512916
cfi-40,400,0.0,308.007,308.8034222,334.970548,0.9974209411465519,0.919504720158263
sts_19_57,57,0.0,300.099,300.0828376,300.2123223,1.000053859794613,0.9996225261537175
sts_25_100,100,0.0,300.37,300.4724943,300.020232,0.9996588895757704,1.0011658147107891
usr_1_29_1,29,0.0,300.003,300.012398,300.0162944,0.9999686746279064,0.999955687740139
usr_2_58_1,58,0.0,300.114,300.0826405,300.35708850000003,1.0001045028794324,0.999190668343424
latin_22_484,484,0.0,336.737,339.9497107,340.0176569,0.9905494530547339,0.9903515101835878
Lattice_20_400,400,0.0,322.147,321.4615855,324.7410561,1.0021321816693398,0.9920119244201719
Triangular_29_406,406,0.0,325.64,325.4280935,324.7472375,1.0006511622820295,1.0027490995978063
